City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vadso,70.0744,29.7487,32.88,80,100,12.66,NO,1714254164
84,yuzhno-kurilsk,44.0306,145.8556,46.38,96,45,9.01,RU,1714254164
85,mozarlandia,-14.7447,-50.5706,81.7,60,2,3.98,BR,1714254165
86,grand falls-windsor,48.9332,-55.6649,43.5,51,16,5.01,CA,1714254026
87,puerto ayora,-0.7393,-90.3518,87.76,90,21,8.01,EC,1714253908
88,hamilton,39.1834,-84.5333,78.64,54,0,16.11,US,1714254094
89,bredasdorp,-34.5322,20.0403,61.29,88,41,7.29,ZA,1714254166
90,longyearbyen,78.2186,15.6401,28.24,93,75,1.14,SJ,1714253900
91,flying fish cove,-10.4217,105.6791,78.48,100,40,3.44,CX,1714254167
92,asau,46.4333,26.4,47.32,86,57,3.22,RO,1714254168
93,poronaysk,49.2167,143.1167,47.37,56,59,3.27,RU,1714253917
94,ushuaia,-54.8,-68.3,38.86,87,40,2.3,AR,1714253985
95,porto novo,6.4965,2.6036,85.82,83,19,6.76,BJ,1714254013
96,noumea,-22.2763,166.4572,77.0,99,16,10.07,NC,1714254170
97,cabo san lucas,22.8909,-109.9124,86.61,38,20,8.05,MX,1714254170
98,takoradi,4.8845,-1.7554,83.21,85,97,8.03,GH,1714254171
99,ulverstone,-41.15,146.1667,48.72,93,91,4.52,AU,1714254171
100,sant lluis,39.8526,4.2594,61.2,100,100,6.91,ES,1714254172
101,oratorio,14.2281,-90.1758,80.78,56,73,6.51,GT,1714254173
102,katsuura,35.1333,140.3,64.58,89,18,5.91,JP,1714253930
103,naze,28.3667,129.4833,68.92,87,22,3.0,JP,1714253938
104,igarka,67.4667,86.5833,27.01,89,100,8.99,RU,1714254017
105,blackmans bay,-43.0167,147.3167,45.52,91,30,5.88,AU,1714254175
106,bardai,11.65,7.2333,86.72,39,100,6.53,NG,1714253937
107,utrik,11.2278,169.8474,81.93,78,99,14.99,MH,1714254176
108,nemuro,43.3236,145.575,43.83,96,28,7.67,JP,1714253905
109,rouissat,31.9243,5.3502,77.07,31,33,14.97,DZ,1714254176
110,mishelevka,52.8575,103.1719,34.74,83,78,4.12,RU,1714254177
111,badger,64.8,-147.5333,53.85,38,0,8.05,US,1714254177
112,mountain home,43.133,-115.6912,65.68,35,20,16.11,US,1714254178
113,labuan,5.2767,115.2417,82.76,78,20,3.44,MY,1714254178
114,semporna,4.4818,118.6112,79.86,84,100,2.39,MY,1714253913
115,ust'-barguzin,53.45,108.9833,29.01,81,98,2.15,RU,1714254179
116,amahai,-3.3333,128.9167,86.2,81,100,2.24,ID,1714254179
117,pandan,14.0453,124.1694,81.18,86,66,10.47,PH,1714253927
118,newman,37.3138,-121.0208,73.26,42,16,14.0,US,1714253912
119,uturoa,-16.7333,-151.4333,83.1,76,47,21.88,PF,1714254181
120,kiama,-34.6833,150.8667,55.58,89,0,6.22,AU,1714254181
121,mount gambier,-37.8333,140.7667,46.63,71,54,6.62,AU,1714254181
122,petropavlovsk-kamchatsky,53.0452,158.6483,36.45,99,75,2.24,RU,1714253910
123,tobelo,1.7284,128.0095,81.99,80,78,3.47,ID,1714254182
124,caleta de carquin,-11.0925,-77.6267,70.65,82,18,7.43,PE,1714254183
125,ulsteinvik,62.3432,5.8487,44.76,74,63,1.99,NO,1714254183
126,ibarreta,-25.2144,-59.8585,82.04,66,92,7.05,AR,1714254178
127,st. john's,47.5649,-52.7093,35.98,79,75,20.71,CA,1714254184
128,solleftea,63.1667,17.2667,33.66,100,96,0.81,SE,1714254184
129,susuman,62.7833,148.1667,22.98,95,100,4.0,RU,1714254185
130,tiksi,71.6872,128.8694,-0.47,91,39,4.05,RU,1714254185
131,floro,61.5996,5.0328,41.07,87,15,1.14,NO,1714254186
132,howard springs,-12.497,131.047,73.31,83,88,6.13,AU,1714254186
133,ambon,-3.6954,128.1814,81.88,15,40,3.44,ID,1714254186
134,touros,-5.1989,-35.4608,80.69,80,100,9.48,BR,1714254187
135,alofi,-19.0595,-169.9187,84.09,70,75,16.11,NU,1714254187
136,murzuq,25.9155,13.9184,83.88,10,1,6.04,LY,1714254188
137,pimentel,-6.8367,-79.9342,77.29,65,0,20.71,PE,1714254028
138,udachny,66.4167,112.4,5.45,100,89,3.8,RU,1714254189
139,huarmey,-10.0681,-78.1522,71.62,80,25,8.95,PE,1714254189
140,emirgazi,37.9022,33.8372,56.79,84,100,11.9,TR,1714253931
141,saipan,15.1355,145.701,83.1,74,20,14.97,MP,1714253936
142,port alfred,-33.5906,26.891,66.18,77,46,5.99,ZA,1714253922
143,kingston,17.997,-76.7936,88.75,58,20,10.36,JM,1714253934
144,eyl,7.9803,49.8164,83.62,76,47,9.93,SO,1714254191
145,chake chake,-5.2459,39.7666,79.81,79,98,13.4,TZ,1714254192
146,cherniakhiv,50.4565,28.6702,49.46,65,100,6.17,UA,1714254192
147,kirensk,57.7853,108.1119,31.96,95,100,5.01,RU,1714253918
148,chonchi,-42.6128,-73.8092,51.12,90,91,7.16,CL,1714253926
149,kutiyana,21.6233,69.9817,81.68,49,78,6.11,IN,1714254193
150,smithers,54.7804,-127.1743,57.52,33,75,8.05,CA,1714254194
151,east london,-33.0153,27.9116,66.0,72,51,19.28,ZA,1714253979
152,aasiaat,68.7098,-52.8699,31.12,97,99,6.38,GL,1714253906
153,bethel,41.3712,-73.414,58.77,37,0,13.8,US,1714254195
154,hithadhoo,-0.6,73.0833,85.5,74,100,10.47,MV,1714254195
155,crane,31.3974,-102.3501,86.65,9,85,10.25,US,1714254196
156,maumere,-8.6199,122.2111,79.38,87,61,4.07,ID,1714254196
